Item,RefDes,Qty,Function,Manufacturer,Manufacturer part number,Package or interface,Proposed value or configuration,Engineering status,Selection basis and required verification
1,J1,1,External non-patient accessory or service connector,Binder,86-6319-1120-00004,M8 A-coded 4-contact shieldable panel mount THT,"Pin 1 = 3V3_AUX; pin 2 = 1WIRE; pin 3 = GND_AUX; pin 4 = RESERVED; shell = chassis","Candidate — do not release","Vendor states IP67 only when correctly installed and mated. Select mating cable/cap, enclosure panel cutout, gasket and assembly torque; verify full assembly against IEC 60529 IP6X and IPX7. Do not use as electrode connector."
2,U1,1,I2C to 1-Wire master,Analog Devices (legacy Dallas/Maxim),DS2484R+T,SOT-23-6,"3.0 V logic; I2C control; 1-Wire IO; SLPZ controlled by MCU","Candidate — electrical review required","Production-listed part. Check latest datasheet, I2C address/firmware behavior, 1-Wire timing, pullup/strong-pullup configuration, line capacitance and thermal/ESD behavior in the target build."
3,U2,1,Accessory or cable identity and calibration metadata EEPROM,Analog Devices (legacy Dallas/Maxim),DS28E07+T,TO-92-3,"Off-board in accessory/cable; unique 64-bit ROM ID and 1 Kbit EEPROM","Candidate — accessory-side only","Production-listed 1-Wire EEPROM. Its ROM ID and writable memory are not authenticity proof. Define page format, write protection, calibration provenance and replacement policy. Use a separately designed cryptographic authenticator if authenticity is a requirement."
4,F1,1,Auxiliary-power current limiting,To be selected,TBD,TBD,"Protect 3V3_AUX using an approved current-limit architecture","TBD — mandatory design input","Set device, hold/trip/current-limit, fault clearing and derating only after cable power budget, external accessory load, supply protection, thermal environment and fault analysis are defined."
5,D1,1,1-Wire connector-side ESD transient clamp,To be selected,TBD,TBD,"Low-capacitance 3.3 V-rated unidirectional/bidirectional clamp as justified by test","TBD — mandatory SI/ESD validation","Pick after system-level IEC 61000-4-2 test plan, return-path/chassis strategy, cable length, DS2484 absolute maximum ratings and 1-Wire waveform tests. A TVS alone does not provide IP67, patient protection, or product immunity."
6,R1,1,Series damping / fault-current limit on exposed 1-Wire conductor,To be selected,TBD,TBD,"100 ohm provisional","Provisional — tune or remove only after test","Confirm DS2484 timing margin, edge shape, surge/ESD response and all supported cable/accessory combinations."
7,R2,1,I2C SDA pullup,To be selected,TBD,TBD,"Value TBD; 2.2 kΩ to 10 kΩ design window, not a release value","Provisional","Size from 3.3 V, TWIHS/DS2484 limits, bus capacitance, speed and rise-time measurement."
8,R3,1,I2C SCL pullup,To be selected,TBD,TBD,"Value TBD; 2.2 kΩ to 10 kΩ design window, not a release value","Provisional","Size from 3.3 V, TWIHS/DS2484 limits, bus capacitance, speed and rise-time measurement."
9,R4,1,DS2484 SLPZ default-state pullup,To be selected,TBD,TBD,"Value TBD; normally-pulled-up control net","Provisional","Firmware and failure-state review must determine whether a pullup is appropriate and show reset/brownout behavior cannot make a safety claim."
10,R5,1,1-Wire external pullup option,To be selected,TBD,TBD,"4.7 kΩ provisional / DNP option","Provisional — fit only after characterization","Evaluate against DS2484 active/strong-pullup modes, 1-Wire slave parasitic-power needs, worst-case cable capacitance and waveform compliance."
11,C1,1,DS2484 local decoupling,To be selected,TBD,MLCC,"100 nF X7R, voltage rating TBD","Candidate — placement/layout required","Place at U1 VCC/GND with approved land pattern and return path. Verify effective capacitance/derating and power integrity."
12,C2,1,Auxiliary connector-domain bulk decoupling,To be selected,TBD,MLCC,"1 µF X7R, voltage rating TBD","Candidate — placement/layout required","Choose voltage rating/derating and validate inrush and transient response."
13,J2,1,Internal-only controller interface,To be selected,TBD,Internal board-to-board/header TBD,"SDA, SCL, OW_EN, 3V3_LOGIC, GND","TBD — not an external connector","This is a logical boundary to a SAM E70-class TWIHS controller; select a controlled internal interconnect after the host board and enclosure are defined."
14,TP1,1,Chassis/shield test point,To be selected,TBD,TBD,"SHIELD_CHASSIS only","TBD — layout dependent","Use only if the eventual chassis strategy and safety/EMC analysis approve it. Do not silently bond shield/chassis to patient-related or signal ground."
